t_s;cylinder_1_m_kg;cylinder_1_m_burned_kg;cylinder_1_m_unburned_kg;cylinder_1_T_K;cylinder_1_p_Pa;cylinder_1_V_m3;cylinder_1_wall_heat_W;cylinder_1_heat_transfer_power_W;cylinder_1_htc_W_per_m2K;cylinder_1_added_energy_W;cylinder_1_piston_work_W;cylinder_2_m_kg;cylinder_2_m_burned_kg;cylinder_2_m_unburned_kg;cylinder_2_T_K;cylinder_2_p_Pa;cylinder_2_V_m3;cylinder_2_wall_heat_W;cylinder_2_heat_transfer_power_W;cylinder_2_htc_W_per_m2K;cylinder_2_added_energy_W;cylinder_2_piston_work_W;compressor_1_m_kg;compressor_1_U_J;compressor_1_T_K;compressor_1_p_Pa;compressor_1_V_m3;compressor_2_m_kg;compressor_2_U_J;compressor_2_T_K;compressor_2_p_Pa;compressor_2_V_m3;receiver_1_m_kg;receiver_1_U_J;receiver_1_m_burned_kg;receiver_1_m_unburned_kg;receiver_1_T_K;receiver_1_p_Pa;receiver_1_V_m3;receiver_2_m_kg;receiver_2_U_J;receiver_2_m_burned_kg;receiver_2_m_unburned_kg;receiver_2_T_K;receiver_2_p_Pa;receiver_2_V_m3;exhaust_plenum_1_m_kg;exhaust_plenum_1_T_K;exhaust_plenum_1_p_Pa;exhaust_plenum_1_V_m3;exhaust_plenum_2_m_kg;exhaust_plenum_2_T_K;exhaust_plenum_2_p_Pa;exhaust_plenum_2_V_m3;ambient_in_T_K;ambient_in_p_Pa;ambient_out_T_K;ambient_out_p_Pa;transfer_slot_1_slot_height_m;transfer_slot_1_A_geom_m2;transfer_slot_1_A_eff_forward_m2;transfer_slot_1_A_eff_reverse_m2;transfer_slot_1_mdot_kg_per_s;transfer_slot_1_mdot_residual_kg_per_s;transfer_slot_2_slot_height_m;transfer_slot_2_A_geom_m2;transfer_slot_2_A_eff_forward_m2;transfer_slot_2_A_eff_reverse_m2;transfer_slot_2_mdot_kg_per_s;transfer_slot_2_mdot_residual_kg_per_s;exhaust_slot_1_slot_height_m;exhaust_slot_1_A_geom_m2;exhaust_slot_1_A_eff_forward_m2;exhaust_slot_1_A_eff_reverse_m2;exhaust_slot_1_mdot_kg_per_s;exhaust_slot_1_mdot_residual_kg_per_s;exhaust_slot_2_slot_height_m;exhaust_slot_2_A_geom_m2;exhaust_slot_2_A_eff_forward_m2;exhaust_slot_2_A_eff_reverse_m2;exhaust_slot_2_mdot_kg_per_s;exhaust_slot_2_mdot_residual_kg_per_s;exhaust_bleed_1_mdot_kg_per_s;exhaust_bleed_2_mdot_kg_per_s;free_piston_x_m;free_piston_distance_from_tdc_m;free_piston_v_m_per_s;free_piston_a_m_per_s2;free_piston_F_gas_N;free_piston_F_bounce_N;free_piston_F_friction_N;free_piston_F_load_N;free_piston_F_net_N;free_piston_generator_power_W
Zeit;cylinder_1: Masse;cylinder_1: Verbrannte Masse;cylinder_1: Unverbrannte Masse;cylinder_1: Temperatur;cylinder_1: Druck;cylinder_1: Volumen;cylinder_1: Zylinderwandwärme;cylinder_1: Wärmeleistung Zylinder;cylinder_1: Heat-Transfer-Coefficient;cylinder_1: Zugeführte Energie;cylinder_1: Kolbenarbeit;cylinder_2: Masse;cylinder_2: Verbrannte Masse;cylinder_2: Unverbrannte Masse;cylinder_2: Temperatur;cylinder_2: Druck;cylinder_2: Volumen;cylinder_2: Zylinderwandwärme;cylinder_2: Wärmeleistung Zylinder;cylinder_2: Heat-Transfer-Coefficient;cylinder_2: Zugeführte Energie;cylinder_2: Kolbenarbeit;compressor_1: Masse;compressor_1: Innere Energie;compressor_1: Temperatur;compressor_1: Druck;compressor_1: Volumen;compressor_2: Masse;compressor_2: Innere Energie;compressor_2: Temperatur;compressor_2: Druck;compressor_2: Volumen;receiver_1: Masse;receiver_1: Innere Energie;receiver_1: Verbrannte Masse;receiver_1: Unverbrannte Masse;receiver_1: Temperatur;receiver_1: Druck;receiver_1: Volumen;receiver_2: Masse;receiver_2: Innere Energie;receiver_2: Verbrannte Masse;receiver_2: Unverbrannte Masse;receiver_2: Temperatur;receiver_2: Druck;receiver_2: Volumen;exhaust_plenum_1: Masse;exhaust_plenum_1: Temperatur;exhaust_plenum_1: Druck;exhaust_plenum_1: Volumen;exhaust_plenum_2: Masse;exhaust_plenum_2: Temperatur;exhaust_plenum_2: Druck;exhaust_plenum_2: Volumen;ambient_in: Temperatur;ambient_in: Druck;ambient_out: Temperatur;ambient_out: Druck;transfer_slot_1: Slot-Höhe;transfer_slot_1: Geometrische Öffnungsfläche;transfer_slot_1: Effektiver Querschnitt vorwärts;transfer_slot_1: Effektiver Querschnitt rückwärts;transfer_slot_1: Massenstrom;transfer_slot_1: Restgas-Massenstrom;transfer_slot_2: Slot-Höhe;transfer_slot_2: Geometrische Öffnungsfläche;transfer_slot_2: Effektiver Querschnitt vorwärts;transfer_slot_2: Effektiver Querschnitt rückwärts;transfer_slot_2: Massenstrom;transfer_slot_2: Restgas-Massenstrom;exhaust_slot_1: Slot-Höhe;exhaust_slot_1: Geometrische Öffnungsfläche;exhaust_slot_1: Effektiver Querschnitt vorwärts;exhaust_slot_1: Effektiver Querschnitt rückwärts;exhaust_slot_1: Massenstrom;exhaust_slot_1: Restgas-Massenstrom;exhaust_slot_2: Slot-Höhe;exhaust_slot_2: Geometrische Öffnungsfläche;exhaust_slot_2: Effektiver Querschnitt vorwärts;exhaust_slot_2: Effektiver Querschnitt rückwärts;exhaust_slot_2: Massenstrom;exhaust_slot_2: Restgas-Massenstrom;exhaust_bleed_1: Massenstrom;exhaust_bleed_2: Massenstrom;Kolbenposition;Abstand von TDC;Kolbengeschwindigkeit;Kolbenbeschleunigung;Gasdruckkraft;Bounce-Kraft;Reibkraft;Lastkraft;Nettokraft;Generatorleistung mechanisch
t;m;m_b;m_u;T;p;V;Q̇_wall;Q̇_ht;HTC;Q̇_add;P_pV;m;m_b;m_u;T;p;V;Q̇_wall;Q̇_ht;HTC;Q̇_add;P_pV;m;U;T;p;V;m;U;T;p;V;m;U;m_b;m_u;T;p;V;m;U;m_b;m_u;T;p;V;m;T;p;V;m;T;p;V;T;p;T;p;h_slot;A_geom;A_eff,fwd;A_eff,rev;ṁ;mdot_res;h_slot;A_geom;A_eff,fwd;A_eff,rev;ṁ;mdot_res;h_slot;A_geom;A_eff,fwd;A_eff,rev;ṁ;mdot_res;h_slot;A_geom;A_eff,fwd;A_eff,rev;ṁ;mdot_res;ṁ;ṁ;x;s;v;a;F_gas;F_bounce;F_fric;F_load;F_net;P_gen
s;kg;kg;kg;K;Pa;m³;W;W;W/m²K;W;W;kg;kg;kg;K;Pa;m³;W;W;W/m²K;W;W;kg;J;K;Pa;m³;kg;J;K;Pa;m³;kg;J;kg;kg;K;Pa;m³;kg;J;kg;kg;K;Pa;m³;kg;K;Pa;m³;kg;K;Pa;m³;K;Pa;K;Pa;m;m²;m²;m²;kg/s;kg/s;m;m²;m²;m²;kg/s;kg/s;m;m²;m²;m²;kg/s;kg/s;m;m²;m²;m²;kg/s;kg/s;kg/s;kg/s;m;m;m/s;m/s²;N;N;N;N;N;W
