# Crank Angle (4-stroke)	mm
278.0	0.064522597
279.0	0.055712054
280.0	0.046901511
281.0	0.038090959
282.0	0.029280426
283.0	0.020469884
284.0	0.011659336
285.0	0.002848794
286.0	0.0
	
